sr,rr,t,lm,bo,rem,hs,hr,sl
70.0,22.0,93.56391198763949,4.0,90.0,74.0,8.0,66.0,1
55.0,16.0,94.53287569350331,6.0,91.0,102.0,8.0,69.0,1
76.0,28.0,95.86621732714896,4.0,92.0,80.0,6.0,63.0,1
61.0,17.0,86.5822232754913,9.0,91.0,64.0,7.0,68.0,1
58.0,27.0,86.97841186589575,4.0,90.0,85.0,7.0,68.0,1
69.0,16.0,90.82818129697468,5.0,93.0,100.0,6.0,68.0,1
73.0,16.0,88.77110533412689,9.0,93.0,104.0,8.0,60.0,1
78.0,16.0,92.34816703427944,7.0,90.0,79.0,8.0,68.0,1
63.0,21.0,88.44776125682034,8.0,92.0,68.0,6.0,62.0,1
62.0,20.0,90.14268454291704,4.0,94.0,73.0,6.0,66.0,1
59.0,29.0,86.0144127372348,7.0,93.0,84.0,7.0,67.0,1
51.0,26.0,91.54301902376812,4.0,93.0,70.0,8.0,67.0,1
58.0,16.0,96.61012343653869,5.0,94.0,72.0,6.0,66.0,1
71.0,19.0,93.58681154363634,6.0,91.0,82.0,6.0,61.0,1
66.0,27.0,90.253208006967,5.0,92.0,72.0,8.0,64.0,1
53.0,27.0,98.09428773439586,7.0,94.0,88.0,8.0,64.0,1
52.0,22.0,97.26233001695876,9.0,93.0,89.0,6.0,66.0,1
58.0,17.0,98.66821379725818,8.0,91.0,68.0,6.0,61.0,1
53.0,26.0,94.54563873924296,5.0,90.0,74.0,7.0,66.0,1
56.0,28.0,89.30504609685077,4.0,93.0,96.0,7.0,68.0,1
66.0,18.0,92.87093379204624,4.0,94.0,78.0,7.0,68.0,1
58.0,25.0,85.30755466661358,8.0,90.0,86.0,8.0,63.0,1
66.0,21.0,94.35352779757032,6.0,91.0,79.0,8.0,69.0,1
59.0,18.0,91.55281689272144,6.0,93.0,63.0,7.0,60.0,1
75.0,21.0,90.2783134228469,4.0,93.0,68.0,7.0,60.0,1
73.0,20.0,88.41394290466742,7.0,93.0,66.0,6.0,65.0,1
63.0,22.0,86.88770422004634,4.0,94.0,93.0,8.0,60.0,1
55.0,22.0,92.66089301305296,9.0,93.0,84.0,7.0,60.0,1
59.0,27.0,93.24479584113176,9.0,92.0,62.0,6.0,65.0,1
55.0,19.0,91.54253099013351,8.0,91.0,78.0,8.0,61.0,1
50.0,23.0,95.90832850403272,4.0,90.0,101.0,6.0,69.0,1
63.0,28.0,97.06241254819729,6.0,93.0,71.0,6.0,61.0,1
76.0,17.0,86.06374214488048,9.0,91.0,68.0,6.0,69.0,1
57.0,28.0,97.68043421034548,8.0,94.0,92.0,7.0,62.0,1
79.0,16.0,90.15692065089122,7.0,90.0,78.0,8.0,66.0,1
71.0,17.0,85.52000237045591,4.0,93.0,63.0,6.0,65.0,1
67.0,23.0,97.42233146757653,8.0,94.0,94.0,7.0,66.0,1
62.0,23.0,92.16583126432567,9.0,91.0,94.0,6.0,69.0,1
52.0,23.0,93.62625153724736,4.0,91.0,62.0,6.0,65.0,1
67.0,24.0,88.2789776536602,9.0,93.0,95.0,8.0,65.0,1
68.0,23.0,96.57760328861208,6.0,90.0,83.0,7.0,69.0,1
59.0,16.0,94.96432343345846,9.0,90.0,74.0,8.0,67.0,1
68.0,18.0,92.17582886754212,9.0,90.0,97.0,7.0,63.0,1
65.0,21.0,90.1137312596131,8.0,94.0,83.0,8.0,64.0,1
52.0,17.0,94.64231173270372,7.0,94.0,72.0,7.0,69.0,1
63.0,16.0,98.74754900881383,9.0,91.0,87.0,8.0,61.0,1
71.0,28.0,91.56623032543332,5.0,94.0,94.0,6.0,66.0,1
78.0,20.0,90.91715225718676,6.0,90.0,63.0,7.0,69.0,1
60.0,27.0,96.88775725581714,6.0,94.0,71.0,6.0,67.0,1
69.0,23.0,89.50492441831963,9.0,94.0,101.0,8.0,66.0,1
65.0,17.0,93.34749598212916,9.0,92.0,76.0,6.0,65.0,1
66.0,29.0,96.92984164170684,5.0,93.0,65.0,8.0,64.0,1
63.0,16.0,96.50854178687112,4.0,91.0,69.0,6.0,66.0,1
73.0,22.0,98.76899239936684,6.0,90.0,75.0,8.0,62.0,1
75.0,20.0,94.6135275534215,4.0,91.0,75.0,8.0,61.0,1
79.0,21.0,85.16458083169805,8.0,94.0,103.0,8.0,61.0,1
73.0,20.0,97.50170792517834,4.0,91.0,97.0,8.0,60.0,1
53.0,28.0,97.16217454472078,8.0,90.0,85.0,7.0,68.0,1
56.0,19.0,85.57417495835276,9.0,90.0,103.0,8.0,60.0,1
53.0,19.0,86.64864173637231,7.0,91.0,93.0,8.0,69.0,1
63.0,21.0,92.13252852728604,5.0,93.0,89.0,6.0,69.0,1
76.0,29.0,90.74011276007025,6.0,92.0,64.0,8.0,66.0,1
79.0,24.0,89.39057218685016,4.0,94.0,77.0,8.0,64.0,1
67.0,17.0,87.65219853927299,5.0,92.0,76.0,6.0,62.0,1
72.0,17.0,98.20344149470924,7.0,92.0,83.0,7.0,60.0,1
50.0,29.0,86.41933478791695,9.0,94.0,69.0,7.0,66.0,1
51.0,22.0,95.5977570855244,6.0,91.0,82.0,7.0,64.0,1
69.0,22.0,98.17782971267594,8.0,90.0,91.0,6.0,65.0,1
77.0,29.0,91.0419477219602,6.0,92.0,87.0,7.0,62.0,1
53.0,18.0,92.70498503155508,4.0,90.0,64.0,7.0,64.0,1
59.0,17.0,97.46908873715542,8.0,91.0,96.0,7.0,66.0,1
73.0,23.0,95.65470121279876,7.0,91.0,104.0,8.0,60.0,1
55.0,20.0,86.78634829246148,6.0,90.0,73.0,6.0,61.0,1
67.0,25.0,87.49734604289766,6.0,93.0,68.0,7.0,61.0,1
71.0,17.0,87.57342606952137,4.0,90.0,64.0,8.0,60.0,1
67.0,28.0,87.49667169444827,6.0,93.0,78.0,7.0,61.0,1
57.0,21.0,85.84387882621144,6.0,93.0,78.0,6.0,66.0,1
77.0,29.0,87.149730884563,4.0,91.0,103.0,7.0,60.0,1
68.0,25.0,97.93154201563706,4.0,94.0,100.0,6.0,68.0,1
52.0,18.0,98.06984567803528,9.0,94.0,94.0,8.0,61.0,1
76.0,22.0,90.83510326912872,7.0,92.0,78.0,6.0,69.0,1
52.0,28.0,91.48949476894148,7.0,90.0,88.0,7.0,64.0,1
54.0,16.0,92.33603128162622,9.0,93.0,90.0,6.0,63.0,1
63.0,27.0,90.7069298692031,5.0,91.0,72.0,6.0,62.0,1
52.0,18.0,85.33474211125647,8.0,91.0,65.0,7.0,61.0,1
69.0,20.0,93.63275466838948,9.0,92.0,62.0,6.0,62.0,1
58.0,22.0,97.51176250172426,6.0,90.0,87.0,6.0,66.0,1
74.0,26.0,89.223197495714,8.0,91.0,71.0,6.0,68.0,1
70.0,26.0,95.21834716391103,9.0,93.0,91.0,6.0,61.0,1
59.0,20.0,86.31536632754162,7.0,94.0,65.0,6.0,64.0,1
77.0,21.0,90.56127642165,7.0,91.0,95.0,8.0,67.0,1
72.0,16.0,88.3667600343395,7.0,91.0,98.0,6.0,67.0,1
56.0,28.0,90.71468846349894,6.0,90.0,78.0,7.0,61.0,1
53.0,17.0,97.72031762917152,6.0,93.0,103.0,8.0,66.0,1
54.0,20.0,91.9023630433498,9.0,94.0,84.0,8.0,65.0,1
62.0,22.0,95.77972071192012,7.0,94.0,67.0,8.0,66.0,1
71.0,28.0,88.20977651445646,4.0,90.0,80.0,8.0,61.0,1
55.0,23.0,92.4864740706735,8.0,92.0,89.0,7.0,63.0,1
76.0,21.0,90.02178330486848,8.0,93.0,93.0,8.0,60.0,1
72.0,18.0,86.65608024225612,9.0,90.0,74.0,6.0,64.0,1
68.0,18.0,88.6083679064298,4.0,92.0,80.0,8.0,63.0,1
56.0,22.0,93.5491826319246,8.0,92.0,63.0,8.0,61.0,1
53.0,24.0,88.9485533492177,7.0,94.0,98.0,7.0,68.0,1
77.0,22.0,89.11990011761,4.0,94.0,91.0,6.0,69.0,1
58.0,16.0,97.42486019764848,9.0,94.0,74.0,6.0,62.0,1
68.0,17.0,87.31648462574275,6.0,93.0,62.0,6.0,65.0,1
58.0,25.0,90.24731018285205,7.0,90.0,88.0,8.0,68.0,1
73.0,19.0,98.08382033432228,9.0,90.0,94.0,7.0,60.0,1
70.0,29.0,86.62698777093532,5.0,91.0,77.0,6.0,62.0,1
59.0,16.0,94.12867918622683,7.0,90.0,75.0,6.0,65.0,1
74.0,28.0,88.60853129274466,8.0,92.0,65.0,8.0,68.0,1
77.0,27.0,92.63546786448826,6.0,90.0,79.0,6.0,68.0,1
70.0,23.0,97.96285389218542,6.0,92.0,76.0,7.0,63.0,1
66.0,23.0,92.80269307861298,8.0,93.0,73.0,7.0,63.0,1
50.0,29.0,90.60783856644348,6.0,90.0,100.0,7.0,68.0,1
78.0,21.0,88.4325225357867,6.0,93.0,66.0,7.0,67.0,1
62.0,26.0,89.43307614309693,5.0,90.0,83.0,7.0,67.0,1
71.0,28.0,93.5325035024629,4.0,91.0,78.0,8.0,60.0,1
61.0,27.0,85.81986762633072,7.0,93.0,69.0,7.0,63.0,1
65.0,29.0,92.96172604094888,7.0,90.0,91.0,8.0,69.0,1
71.0,28.0,93.7112396981752,8.0,90.0,66.0,6.0,69.0,1
52.0,29.0,89.82538048512819,4.0,93.0,73.0,6.0,65.0,1
51.0,28.0,95.2101441660434,8.0,91.0,99.0,6.0,65.0,1
73.0,29.0,89.40261969527457,4.0,92.0,92.0,8.0,66.0,1
74.0,23.0,85.23594290191423,7.0,91.0,87.0,6.0,69.0,1
78.0,24.0,98.8737485910888,8.0,92.0,63.0,7.0,60.0,1
71.0,25.0,91.30326109828988,4.0,94.0,61.0,6.0,62.0,1
60.0,22.0,98.46014703090646,4.0,90.0,92.0,6.0,63.0,1
73.0,28.0,97.28741112800792,7.0,90.0,92.0,7.0,68.0,1
76.0,16.0,93.20058755926178,4.0,90.0,77.0,8.0,69.0,1
71.0,29.0,91.2966166662442,5.0,92.0,98.0,8.0,60.0,1
73.0,27.0,98.5750197960047,9.0,90.0,86.0,8.0,63.0,1
55.0,18.0,85.29402628121133,9.0,90.0,84.0,8.0,61.0,1
66.0,16.0,96.51295660687668,4.0,93.0,90.0,6.0,69.0,1
63.0,18.0,92.62809281387196,8.0,94.0,99.0,7.0,69.0,1
54.0,18.0,87.07149711741991,4.0,91.0,84.0,6.0,67.0,1
51.0,19.0,96.37767297071682,9.0,91.0,61.0,7.0,60.0,1
78.0,21.0,89.27353985083495,5.0,92.0,98.0,7.0,68.0,1
58.0,23.0,89.66341139510504,5.0,91.0,79.0,6.0,67.0,1
63.0,28.0,88.6446628433315,4.0,94.0,72.0,6.0,61.0,1
57.0,16.0,91.4505662743107,8.0,90.0,89.0,7.0,66.0,1
74.0,24.0,97.60171296603517,6.0,92.0,98.0,7.0,62.0,1
55.0,29.0,90.72181960207678,6.0,94.0,98.0,7.0,69.0,1
50.0,29.0,91.18154989417894,7.0,91.0,92.0,8.0,61.0,1
52.0,19.0,89.41893998200642,8.0,90.0,73.0,7.0,67.0,1
68.0,26.0,92.52877958566258,4.0,94.0,62.0,7.0,69.0,1
74.0,20.0,91.6464788569792,9.0,93.0,81.0,7.0,65.0,1
65.0,28.0,95.60784006477904,7.0,90.0,92.0,8.0,65.0,1
55.0,23.0,93.1720378921008,6.0,94.0,74.0,6.0,68.0,1
61.0,24.0,97.93488208375648,6.0,92.0,67.0,8.0,67.0,1
77.0,25.0,85.13864185301426,6.0,92.0,66.0,8.0,67.0,1
56.0,20.0,88.27144034045106,5.0,93.0,88.0,7.0,64.0,1
66.0,27.0,91.50303820152271,7.0,93.0,103.0,8.0,67.0,1
71.0,26.0,92.5434839119937,8.0,94.0,100.0,7.0,60.0,1
75.0,28.0,94.11375980574024,9.0,90.0,97.0,7.0,60.0,1
61.0,23.0,91.88330357734282,8.0,91.0,67.0,8.0,61.0,1
69.0,25.0,97.67739070694904,7.0,94.0,82.0,7.0,61.0,1
77.0,21.0,96.05229539945364,7.0,90.0,69.0,7.0,68.0,1
63.0,18.0,87.55049705451857,9.0,91.0,86.0,6.0,60.0,1
78.0,28.0,97.57565090129212,9.0,92.0,66.0,7.0,66.0,1
72.0,22.0,89.78948805608653,8.0,93.0,61.0,6.0,61.0,1
57.0,21.0,95.91517034325771,5.0,91.0,68.0,6.0,62.0,1
59.0,16.0,85.05549823037582,9.0,91.0,79.0,7.0,68.0,1
51.0,29.0,91.8234329383592,7.0,92.0,92.0,7.0,65.0,1
61.0,21.0,90.22088689944688,4.0,93.0,71.0,8.0,62.0,1
73.0,16.0,87.04741922745612,7.0,93.0,90.0,6.0,65.0,1
55.0,21.0,98.69329780965256,6.0,90.0,103.0,6.0,68.0,1
53.0,23.0,88.87063441655012,6.0,93.0,79.0,6.0,64.0,1
63.0,16.0,85.98451748207955,6.0,90.0,66.0,8.0,69.0,1
53.0,22.0,97.94781614050842,8.0,94.0,70.0,8.0,61.0,1
60.0,17.0,86.03084695935443,5.0,93.0,77.0,6.0,63.0,1
75.0,16.0,87.5040406228949,7.0,94.0,103.0,6.0,68.0,1
67.0,28.0,93.30141344372728,9.0,91.0,60.0,7.0,65.0,1
76.0,26.0,98.47703403265768,9.0,93.0,69.0,7.0,64.0,1
67.0,20.0,92.6565447549689,4.0,92.0,77.0,8.0,65.0,1
79.0,27.0,90.89066285900512,9.0,91.0,73.0,7.0,66.0,1
76.0,20.0,87.38043195903525,5.0,90.0,80.0,8.0,68.0,1
70.0,24.0,87.82689900987936,9.0,92.0,88.0,6.0,69.0,1
55.0,25.0,85.73142009262382,8.0,93.0,104.0,6.0,69.0,1
55.0,19.0,92.00492313366328,7.0,90.0,88.0,8.0,67.0,1
56.0,17.0,98.33970297365948,5.0,90.0,71.0,7.0,60.0,1
59.0,19.0,94.16110753192476,4.0,91.0,92.0,6.0,68.0,1
69.0,21.0,91.71450190495004,8.0,92.0,94.0,6.0,62.0,1
70.0,28.0,96.6425104099238,6.0,93.0,61.0,6.0,66.0,1
52.0,25.0,88.40853574415665,4.0,92.0,61.0,7.0,61.0,1
66.0,28.0,94.55943016898874,9.0,92.0,89.0,8.0,63.0,1
58.0,21.0,94.32270376648069,7.0,94.0,83.0,6.0,61.0,1
64.0,16.0,89.3152836414022,6.0,94.0,77.0,7.0,69.0,1
76.0,27.0,97.12647625065144,4.0,90.0,74.0,7.0,66.0,1
59.0,25.0,85.725688262882,5.0,93.0,64.0,7.0,62.0,1
56.0,23.0,85.30468506635115,5.0,90.0,74.0,7.0,64.0,1
73.0,21.0,85.4405167115924,9.0,91.0,63.0,8.0,69.0,1
73.0,26.0,85.85986338787596,8.0,92.0,104.0,6.0,67.0,1
79.0,17.0,87.22545380139007,8.0,94.0,80.0,8.0,63.0,1
62.0,17.0,94.14707648000116,7.0,93.0,73.0,6.0,68.0,1
56.0,20.0,94.9873227637296,6.0,90.0,96.0,8.0,65.0,1
73.0,26.0,91.3062842096523,5.0,92.0,66.0,6.0,67.0,1
74.0,25.0,95.94470401773548,5.0,90.0,75.0,8.0,61.0,1
51.0,18.0,86.26103169456866,5.0,92.0,92.0,6.0,69.0,1
79.0,19.0,87.89565510536313,8.0,90.0,104.0,8.0,62.0,1
53.0,16.0,93.78249953223356,5.0,94.0,74.0,7.0,69.0,1
54.0,26.0,92.33180403302984,4.0,94.0,81.0,6.0,64.0,1
69.0,28.0,97.96242887735352,9.0,91.0,69.0,7.0,66.0,1
54.0,28.0,90.39662962649948,6.0,90.0,81.0,7.0,69.0,1
77.0,16.0,94.918729421435,4.0,91.0,89.0,6.0,64.0,1
62.0,22.0,85.12556313522917,8.0,93.0,76.0,8.0,65.0,1
56.0,29.0,95.28200236977789,7.0,94.0,90.0,7.0,68.0,1
62.0,28.0,90.56546564069926,4.0,93.0,104.0,8.0,60.0,1
75.0,17.0,89.9482438874753,7.0,91.0,86.0,7.0,65.0,1
72.0,17.0,85.96378957548224,8.0,90.0,91.0,7.0,68.0,1
50.0,27.0,87.88104377789578,8.0,94.0,72.0,6.0,67.0,1
74.0,22.0,86.8351422311082,4.0,93.0,82.0,8.0,66.0,1
58.0,16.0,85.05011883775506,8.0,91.0,87.0,7.0,66.0,1
75.0,18.0,88.21770752943445,5.0,94.0,71.0,6.0,61.0,1
52.0,23.0,91.78470523081312,4.0,93.0,79.0,6.0,69.0,1
66.0,26.0,96.36545234085516,4.0,93.0,72.0,6.0,68.0,1
67.0,27.0,98.10290770234784,9.0,91.0,65.0,6.0,67.0,1
77.0,16.0,93.92248788810242,5.0,94.0,96.0,7.0,67.0,1
72.0,25.0,92.83143306001055,8.0,90.0,94.0,8.0,64.0,1
53.0,20.0,96.3308153213424,9.0,92.0,61.0,7.0,61.0,1
64.0,17.0,94.23102179030094,4.0,93.0,64.0,8.0,64.0,1
59.0,26.0,96.90678432593916,4.0,94.0,89.0,8.0,64.0,1
64.0,22.0,92.1866347252372,5.0,92.0,78.0,8.0,66.0,1
73.0,24.0,97.52598048548316,4.0,94.0,62.0,7.0,66.0,1
62.0,26.0,94.9335603459747,9.0,90.0,64.0,7.0,66.0,1
69.0,22.0,94.42862718224632,8.0,90.0,60.0,8.0,66.0,1
60.0,16.0,98.69980788810189,7.0,92.0,98.0,7.0,65.0,1
69.0,25.0,96.33653705620766,8.0,94.0,98.0,6.0,60.0,1
60.0,26.0,88.86484688490035,5.0,90.0,93.0,6.0,62.0,1
63.0,20.0,91.7021801272616,8.0,93.0,84.0,8.0,67.0,1
73.0,26.0,87.20141095229621,5.0,91.0,100.0,7.0,65.0,1
72.0,18.0,90.3880451900932,6.0,92.0,99.0,7.0,63.0,1
59.0,26.0,94.62858573873588,7.0,94.0,79.0,7.0,65.0,1
67.0,16.0,98.74012075197992,4.0,94.0,72.0,7.0,65.0,1
75.0,17.0,89.41475948219329,9.0,94.0,62.0,7.0,66.0,1
64.0,28.0,87.35296482814653,4.0,94.0,64.0,6.0,69.0,1
61.0,18.0,91.83030128956293,8.0,94.0,88.0,6.0,63.0,1
51.0,17.0,94.86883776214628,4.0,92.0,60.0,6.0,68.0,1
74.0,22.0,97.32861458047805,9.0,93.0,104.0,8.0,60.0,1
68.0,23.0,98.40253777040628,6.0,94.0,70.0,7.0,69.0,1
63.0,23.0,93.82972418781269,7.0,91.0,90.0,6.0,66.0,1
55.0,24.0,91.10895893487584,7.0,90.0,86.0,8.0,62.0,1
78.0,18.0,88.01388976901671,4.0,92.0,102.0,6.0,64.0,1
54.0,22.0,85.49276727625937,6.0,94.0,80.0,6.0,61.0,1
59.0,24.0,97.78623935088332,4.0,93.0,64.0,7.0,68.0,1
59.0,23.0,87.6224851992853,9.0,90.0,88.0,6.0,63.0,1
54.0,22.0,88.00131556105998,5.0,93.0,91.0,8.0,62.0,1
66.0,22.0,87.78664917754222,8.0,90.0,74.0,7.0,63.0,1
64.0,19.0,85.33341271770864,5.0,92.0,87.0,7.0,69.0,1
66.0,20.0,95.63468176019006,6.0,91.0,89.0,7.0,60.0,1
51.0,18.0,85.84843593872326,5.0,92.0,104.0,6.0,67.0,1
68.0,18.0,90.70084719980936,8.0,91.0,96.0,8.0,67.0,1
68.0,27.0,90.85657239151894,8.0,91.0,85.0,7.0,60.0,1
69.0,23.0,98.2926463555693,5.0,94.0,96.0,6.0,69.0,1
70.0,20.0,93.94032622461631,7.0,91.0,80.0,7.0,64.0,1
56.0,25.0,85.54905377004897,5.0,90.0,73.0,8.0,63.0,1
67.0,28.0,89.07680455641514,6.0,94.0,65.0,7.0,63.0,1
59.0,25.0,90.6992144301952,6.0,94.0,83.0,7.0,69.0,1
79.0,22.0,94.75035678813124,9.0,91.0,98.0,7.0,65.0,1
53.0,26.0,98.73394289592028,4.0,90.0,86.0,6.0,67.0,1
76.0,20.0,91.69570793634789,6.0,92.0,82.0,7.0,69.0,1
57.0,17.0,90.8311989912698,9.0,92.0,77.0,6.0,63.0,1
50.0,29.0,89.23761693687334,8.0,90.0,88.0,8.0,65.0,1
50.0,17.0,97.63774568968223,4.0,90.0,89.0,6.0,69.0,1
54.0,16.0,94.34456171086596,9.0,93.0,60.0,8.0,62.0,1
50.0,22.0,94.97172487924234,6.0,94.0,68.0,8.0,64.0,1
67.0,26.0,95.99058332498797,4.0,94.0,73.0,8.0,65.0,1
50.0,18.0,87.59152123986573,8.0,94.0,79.0,6.0,67.0,1
51.0,18.0,97.71431565001902,7.0,91.0,89.0,7.0,67.0,1
68.0,28.0,93.4016383103994,9.0,90.0,80.0,7.0,61.0,1
66.0,17.0,90.1582968020619,6.0,90.0,66.0,8.0,60.0,1
51.0,22.0,89.35635300490411,8.0,94.0,88.0,6.0,64.0,1
60.0,16.0,98.8322219715775,7.0,92.0,81.0,8.0,67.0,1
73.0,28.0,97.14670446905475,7.0,90.0,71.0,8.0,60.0,1
67.0,19.0,95.48361326904975,5.0,94.0,85.0,7.0,60.0,1
67.0,20.0,85.64011907223482,6.0,90.0,88.0,7.0,64.0,1
58.0,17.0,93.82455925538132,7.0,94.0,85.0,6.0,66.0,1
78.0,29.0,86.96562786507516,5.0,92.0,64.0,6.0,69.0,1
57.0,28.0,85.6001838216594,4.0,93.0,71.0,6.0,67.0,1
56.0,27.0,89.40347703015405,8.0,90.0,70.0,6.0,64.0,1
75.0,23.0,90.69770015778052,7.0,93.0,93.0,7.0,66.0,1
70.0,16.0,96.4755519811428,9.0,90.0,77.0,8.0,63.0,1
60.0,17.0,87.57158116514694,4.0,93.0,61.0,6.0,69.0,1
75.0,19.0,88.02034683587955,5.0,90.0,91.0,7.0,69.0,1
50.0,21.0,98.67601583152153,6.0,91.0,66.0,6.0,69.0,1
68.0,23.0,89.48790831201939,9.0,94.0,72.0,7.0,68.0,1
76.0,16.0,92.32273511726152,9.0,91.0,89.0,6.0,68.0,1
74.0,25.0,86.70375748212163,6.0,93.0,65.0,7.0,69.0,1
56.0,16.0,85.14969607113882,6.0,94.0,67.0,7.0,68.0,1
74.0,23.0,94.80812085071987,7.0,93.0,79.0,8.0,66.0,1
74.0,20.0,91.37481511248274,7.0,92.0,65.0,7.0,60.0,1
75.0,23.0,87.53624260950562,9.0,91.0,60.0,8.0,60.0,1
52.0,23.0,87.78632759874273,6.0,92.0,64.0,7.0,69.0,1
75.0,22.0,94.33411498360752,8.0,91.0,79.0,7.0,60.0,1
70.0,25.0,90.1833266641098,8.0,93.0,89.0,8.0,68.0,1
55.0,25.0,85.20940292105591,6.0,90.0,87.0,6.0,67.0,1
70.0,18.0,87.51471072033394,8.0,93.0,104.0,7.0,63.0,1
77.0,22.0,98.72818828428755,8.0,90.0,73.0,6.0,62.0,1
64.0,24.0,89.40390531138172,9.0,92.0,85.0,6.0,68.0,1
72.0,25.0,92.51230055955128,9.0,91.0,79.0,8.0,60.0,1
74.0,29.0,90.8399384700908,7.0,91.0,62.0,7.0,67.0,1
69.0,27.0,94.26364206221844,5.0,94.0,98.0,8.0,62.0,1
68.0,21.0,86.31871766314877,5.0,90.0,67.0,8.0,69.0,1
53.0,22.0,95.20150307685071,7.0,92.0,102.0,8.0,66.0,1
62.0,20.0,95.2192234589603,8.0,94.0,94.0,7.0,60.0,1
50.0,17.0,91.8038567289692,9.0,93.0,75.0,8.0,69.0,1
76.0,25.0,98.5077973761854,6.0,91.0,73.0,6.0,62.0,1
72.0,19.0,95.16335609020194,9.0,92.0,85.0,7.0,67.0,1
67.0,17.0,89.77117561057581,5.0,93.0,68.0,7.0,62.0,1
65.0,26.0,94.56036549693331,4.0,90.0,61.0,8.0,61.0,1
52.0,21.0,86.10869654320969,8.0,94.0,63.0,6.0,69.0,1
54.0,24.0,95.70144905083912,6.0,93.0,103.0,8.0,69.0,1
72.0,27.0,97.16096472808556,6.0,94.0,83.0,6.0,67.0,1
66.0,23.0,90.98134817880448,6.0,94.0,83.0,8.0,61.0,1
76.0,28.0,92.1672104903853,9.0,91.0,62.0,8.0,69.0,1
57.0,23.0,97.98106846033453,9.0,92.0,71.0,6.0,61.0,1
76.0,23.0,88.71584720466099,8.0,94.0,97.0,7.0,69.0,1
76.0,17.0,89.40281696708517,4.0,93.0,82.0,7.0,65.0,1
67.0,25.0,92.27217278191075,6.0,94.0,74.0,8.0,66.0,1
59.0,24.0,90.56318864997314,6.0,94.0,73.0,7.0,69.0,1
66.0,17.0,96.4897724858642,9.0,91.0,67.0,8.0,68.0,1
72.0,18.0,98.66127768100388,5.0,93.0,62.0,6.0,63.0,1
69.0,19.0,94.26510119767784,7.0,94.0,72.0,8.0,63.0,1
75.0,29.0,92.76966961612928,6.0,94.0,69.0,8.0,69.0,1
58.0,26.0,97.7827330327425,4.0,93.0,78.0,8.0,66.0,1
60.0,18.0,94.67151644627732,8.0,93.0,83.0,7.0,65.0,1
60.0,18.0,92.82345972681529,8.0,93.0,92.0,8.0,61.0,1
71.0,16.0,90.58618313112385,9.0,90.0,77.0,7.0,68.0,1
71.0,24.0,85.30922116016382,5.0,94.0,95.0,8.0,64.0,1
61.0,18.0,97.52796314103196,4.0,91.0,100.0,7.0,64.0,1
70.0,18.0,95.33018507615492,9.0,94.0,88.0,6.0,67.0,1
66.0,18.0,89.33885435667514,6.0,91.0,68.0,6.0,62.0,1
70.0,29.0,89.73342723127347,7.0,91.0,95.0,6.0,67.0,1
74.0,26.0,97.47972596924586,6.0,94.0,94.0,8.0,68.0,1
68.0,21.0,94.23118965673676,9.0,92.0,93.0,7.0,64.0,1
62.0,23.0,94.23211001751729,4.0,92.0,73.0,6.0,63.0,1
72.0,19.0,85.62432150171995,7.0,93.0,64.0,8.0,60.0,1
70.0,18.0,91.15376390078536,9.0,91.0,95.0,6.0,60.0,1
61.0,17.0,94.24427242863293,4.0,90.0,63.0,6.0,67.0,1
74.0,28.0,94.59251313587544,6.0,90.0,97.0,8.0,65.0,1
58.0,22.0,86.81988216357983,6.0,93.0,72.0,8.0,65.0,1
59.0,24.0,85.90757882942695,5.0,92.0,92.0,8.0,60.0,1
70.0,16.0,89.36716865171633,9.0,93.0,93.0,6.0,66.0,1
61.0,27.0,98.3880140099445,7.0,93.0,81.0,8.0,68.0,1
57.0,19.0,98.22680696061497,8.0,92.0,87.0,7.0,67.0,1
61.0,21.0,94.9927751714868,4.0,90.0,82.0,7.0,63.0,1
76.0,29.0,94.64496379896065,6.0,94.0,99.0,7.0,65.0,1
65.0,25.0,89.1176728851093,4.0,90.0,85.0,6.0,66.0,1
77.0,25.0,90.84087016914776,6.0,94.0,99.0,6.0,69.0,1
65.0,24.0,88.13422787559936,9.0,90.0,97.0,6.0,68.0,1
53.0,28.0,89.43767005733899,9.0,94.0,73.0,7.0,67.0,1
54.0,16.0,98.68542947234722,8.0,94.0,98.0,7.0,69.0,1
71.0,29.0,97.51358954935752,5.0,92.0,89.0,6.0,68.0,1
57.0,21.0,85.94868558944397,4.0,90.0,93.0,8.0,67.0,1
55.0,22.0,92.97567220249972,7.0,91.0,65.0,7.0,68.0,1
68.0,28.0,85.75886431508407,9.0,90.0,94.0,8.0,62.0,1
72.0,28.0,98.35790113056966,5.0,91.0,70.0,6.0,67.0,1
78.0,21.0,92.31777112814916,4.0,90.0,95.0,7.0,60.0,1
66.0,26.0,95.7769890216258,6.0,93.0,88.0,6.0,66.0,1
55.0,28.0,96.51141196168837,7.0,90.0,92.0,8.0,68.0,1
64.0,19.0,93.50568472462756,4.0,90.0,79.0,6.0,65.0,1
69.0,16.0,98.95915563854858,6.0,94.0,90.0,8.0,62.0,1
68.0,19.0,94.7329676136094,5.0,92.0,81.0,8.0,64.0,1
55.0,24.0,85.05595026356308,5.0,94.0,97.0,7.0,60.0,1
72.0,29.0,89.36371822252977,5.0,93.0,76.0,7.0,67.0,1
61.0,20.0,90.83317449361452,5.0,90.0,92.0,7.0,61.0,1
71.0,21.0,86.91883747324236,6.0,94.0,75.0,6.0,60.0,1
